Participant,Item,EventIndex,EventTime,TimeSinceLastEvent,TotalItemTime,Results.reception.time,Controller.name,Inner.element.number,Label,Latin.Square.Group,PennElementType,PennElementName,Parameter,Value,Subject,age,group,item,itemCond,Sentence1,Sentence1Cond,Sentence2,Sentence2Cond,Sentence3,Sentence3Cond,Sentence4,Sentence4Cond,Sentence5,Sentence5Cond,Sentence6,Sentence6Cond,Sentence7,Sentence7Cond,Sentence8,Sentence8Cond,Comments
32ab20bbeccaa48346503c065698e438,6,10,1742304440715,1389.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drop,(3%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dopped He had this habit of telling you everything.
32ab20bbeccaa48346503c065698e438,6,11,1742304442468,1753.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drag,I put my angry foot in the cool water.,207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dropped on (3%2C 8)
32ab20bbeccaa48346503c065698e438,6,12,1742304443422,954.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drop,(3%2C 8),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dopped I put my angry foot in the cool water.
32ab20bbeccaa48346503c065698e438,6,13,1742304443506,84.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drag,I put my angry foot in the cool water.,207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dropped on (3%2C 8)
32ab20bbeccaa48346503c065698e438,6,14,1742304443884,378.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drop,(3%2C 8),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dopped I put my angry foot in the cool water.
32ab20bbeccaa48346503c065698e438,6,15,1742304445760,1876.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drag,Dr. Hart killed our pet.,207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dropped on (13%2C 2)
32ab20bbeccaa48346503c065698e438,6,16,1742304447230,1470.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drop,(13%2C 2),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dopped Dr. Hart killed our pet.
32ab20bbeccaa48346503c065698e438,6,17,1742304452020,4790.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drag,I e-mailed your assistant earlier this morning .,207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dropped on (13%2C 4)
32ab20bbeccaa48346503c065698e438,6,18,1742304453342,1322.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drop,(13%2C 4),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dopped I e-mailed your assistant earlier this morning .
32ab20bbeccaa48346503c065698e438,6,19,1742304454418,1076.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drag,Dignitaries condemn the rebellious act.,207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dropped on (13%2C 7)
